fixIdx,time,lat,lng,alt,tickLead,tickRace,zoneIdx,legIdx,distance,area
15,,,,,-1278.72256038209,-1372.63088287943,1,0,41.553,0.0
16,,,,,-1277.72256038209,-1371.63088287943,2,0,41.552,0.0
17,,,,,-1276.72256038209,-1370.63088287943,3,0,41.55,0.0
18,,,,,-1275.72256038209,-1369.63088287943,4,0,41.549,0.0
19,,,,,-1274.72256038209,-1368.63088287943,5,0,41.547,0.0
20,,,,,-1273.72256038209,-1367.63088287943,6,0,41.544,0.0
21,,,,,-1272.72256038209,-1366.63088287943,7,0,41.54,0.0
22,,,,,-1271.72256038209,-1365.63088287943,8,0,41.537,0.0
23,,,,,-1270.72256038209,-1364.63088287943,9,0,41.534,0.0
24,,,,,-1269.72256038209,-1363.63088287943,10,0,41.531,0.0
25,,,,,-1268.72256038209,-1362.63088287943,11,0,41.528,0.0
26,,,,,-1267.72256038209,-1361.63088287943,12,0,41.527,0.0
30,,,,,-1263.72256038209,-1357.63088287943,16,0,41.525,0.0
31,,,,,-1262.72256038209,-1356.63088287943,17,0,41.522,0.0
32,,,,,-1261.72256038209,-1355.63088287943,18,0,41.519,0.0
33,,,,,-1260.72256038209,-1354.63088287943,19,0,41.518,0.0
34,,,,,-1259.72256038209,-1353.63088287943,20,0,41.517,0.0
36,,,,,-1257.72256038209,-1351.63088287943,22,0,41.516,0.0
1116,,,,,-177.72256038209,-271.63088287943,895,1,41.512,0.0
1117,,,,,-176.72256038209,-270.63088287943,896,1,41.506,0.0
1118,,,,,-175.72256038209,-269.63088287943,897,1,41.502,0.0
1119,,,,,-174.72256038209,-268.63088287943,898,1,41.499,0.0
1120,,,,,-173.72256038209,-267.63088287943,899,1,41.495,0.0
1121,,,,,-172.72256038209,-266.63088287943,900,1,41.491,0.0
1122,,,,,-171.72256038209,-265.63088287943,901,1,41.489,0.0
1127,,,,,-166.72256038209,-260.63088287943,906,1,41.487,0.0
1128,,,,,-165.72256038209,-259.63088287943,907,1,41.485,0.0
1130,,,,,-163.72256038209,-257.63088287943,909,1,41.484,0.0
1131,,,,,-162.72256038209,-256.63088287943,910,1,41.481,0.0
1132,,,,,-161.72256038209,-255.63088287943,911,1,41.477,0.0
1133,,,,,-160.72256038209,-254.63088287943,912,1,41.474,0.0
1134,,,,,-159.72256038209,-253.63088287943,913,1,41.472,0.0
1135,,,,,-158.72256038209,-252.63088287943,914,1,41.469,0.0
1136,,,,,-157.72256038209,-251.63088287943,915,1,41.467,0.0
1137,,,,,-156.72256038209,-250.63088287943,916,1,41.464,0.0
1138,,,,,-155.72256038209,-249.63088287943,917,1,41.46,0.0
1139,,,,,-154.72256038209,-248.63088287943,918,1,41.456,0.0
1140,,,,,-153.72256038209,-247.63088287943,919,1,41.45,0.0
1141,,,,,-152.72256038209,-246.63088287943,920,1,41.444,0.0
1142,,,,,-151.72256038209,-245.63088287943,921,1,41.438,0.0
1143,,,,,-150.72256038209,-244.63088287943,922,1,41.435,0.0
1144,,,,,-149.72256038209,-243.63088287943,923,1,41.429,0.0
1145,,,,,-148.72256038209,-242.63088287943,924,1,41.424,0.0
1146,,,,,-147.72256038209,-241.63088287943,925,1,41.421,0.0
1147,,,,,-146.72256038209,-240.63088287943,926,1,41.414,0.0
1148,,,,,-145.72256038209,-239.63088287943,927,1,41.406,0.0
1149,,,,,-144.72256038209,-238.63088287943,928,1,41.399,0.0
1150,,,,,-143.72256038209,-237.63088287943,929,1,41.394,0.0
1151,,,,,-142.72256038209,-236.63088287943,930,1,41.389,0.0
1152,,,,,-141.72256038209,-235.63088287943,931,1,41.384,0.0
1153,,,,,-140.72256038209,-234.63088287943,932,1,41.377,0.0
1154,,,,,-139.72256038209,-233.63088287943,933,1,41.37,0.0
1155,,,,,-138.72256038209,-232.63088287943,934,1,41.363,0.0
1156,,,,,-137.72256038209,-231.63088287943,935,1,41.355,0.0
1157,,,,,-136.72256038209,-230.63088287943,936,1,41.351,0.0
1158,,,,,-135.72256038209,-229.63088287943,937,1,41.344,0.0
1159,,,,,-134.72256038209,-228.63088287943,938,1,41.337,0.0
1160,,,,,-133.72256038209,-227.63088287943,939,1,41.328,0.0
1161,,,,,-132.72256038209,-226.63088287943,940,1,41.322,0.0
1162,,,,,-131.72256038209,-225.63088287943,941,1,41.315,0.0
1163,,,,,-130.72256038209,-224.63088287943,942,1,41.308,0.0
1164,,,,,-129.72256038209,-223.63088287943,943,1,41.302,0.0
1165,,,,,-128.72256038209,-222.63088287943,944,1,41.297,0.0
1166,,,,,-127.72256038209,-221.63088287943,945,1,41.291,0.0
1167,,,,,-126.72256038209,-220.63088287943,946,1,41.284,0.0
1168,,,,,-125.72256038209,-219.63088287943,947,1,41.276,0.0
1169,,,,,-124.72256038209,-218.63088287943,948,1,41.269,0.0
1170,,,,,-123.72256038209,-217.63088287943,949,1,41.265,0.0
1171,,,,,-122.72256038209,-216.63088287943,950,1,41.259,0.0
1172,,,,,-121.72256038209,-215.63088287943,951,1,41.255,0.0
1173,,,,,-120.72256038209,-214.63088287943,952,1,41.249,0.0
1174,,,,,-119.72256038209,-213.63088287943,953,1,41.243,0.0
1175,,,,,-118.72256038209,-212.63088287943,954,1,41.237,0.0
1176,,,,,-117.72256038209,-211.63088287943,955,1,41.229,0.0
1177,,,,,-116.72256038209,-210.63088287943,956,1,41.221,0.0
1178,,,,,-115.72256038209,-209.63088287943,957,1,41.213,0.0
1179,,,,,-114.72256038209,-208.63088287943,958,1,41.206,0.0
