fixIdx,time,lat,lng,alt,tickLead,tickRace,zoneIdx,legIdx,distance,area
59,,,,,-2972.04104387496,-3270.348156540328,1,0,26.628,0.0
223,,,,,-2232.04104387496,-2530.348156540328,156,1,26.614,0.0
224,,,,,-2227.04104387496,-2525.348156540328,157,1,26.585,0.0
225,,,,,-2222.04104387496,-2520.348156540328,158,1,26.555,0.0
226,,,,,-2217.04104387496,-2515.348156540328,159,1,26.525,0.0
227,,,,,-2212.04104387496,-2510.348156540328,160,1,26.496,0.0
228,,,,,-2208.04104387496,-2506.348156540328,161,1,26.472,0.0
229,,,,,-2204.04104387496,-2502.348156540328,162,1,26.448,0.0
230,,,,,-2200.04104387496,-2498.348156540328,163,1,26.424,0.0
231,,,,,-2195.04104387496,-2493.348156540328,164,1,26.389,0.0
232,,,,,-2191.04104387496,-2489.348156540328,165,1,26.364,0.0
233,,,,,-2186.04104387496,-2484.348156540328,166,1,26.322,0.0
234,,,,,-2182.04104387496,-2480.348156540328,167,1,26.286,0.0
235,,,,,-2177.04104387496,-2475.348156540328,168,1,26.242,0.0
236,,,,,-2172.04104387496,-2470.348156540328,169,1,26.199,0.0
237,,,,,-2168.04104387496,-2466.348156540328,170,1,26.168,0.0
238,,,,,-2163.04104387496,-2461.348156540328,171,1,26.123,0.0
239,,,,,-2158.04104387496,-2456.348156540328,172,1,26.084,0.0
242,,,,,-2144.04104387496,-2442.348156540328,175,1,26.077,0.0
246,,,,,-2125.04104387496,-2423.348156540328,179,1,26.072,0.0
247,,,,,-2121.04104387496,-2419.348156540328,180,1,26.056,0.0
248,,,,,-2117.04104387496,-2415.348156540328,181,1,26.044,0.0
249,,,,,-2112.04104387496,-2410.348156540328,182,1,26.021,0.0
250,,,,,-2108.04104387496,-2406.348156540328,183,1,26.0,0.0
355,,,,,-1636.04104387496,-1934.348156540328,288,1,25.996,0.0
356,,,,,-1631.04104387496,-1929.348156540328,289,1,25.963,0.0
357,,,,,-1627.04104387496,-1925.348156540328,290,1,25.947,0.0
358,,,,,-1622.04104387496,-1920.348156540328,291,1,25.919,0.0
359,,,,,-1618.04104387496,-1916.348156540328,292,1,25.886,0.0
360,,,,,-1614.04104387496,-1912.348156540328,293,1,25.858,0.0
361,,,,,-1609.04104387496,-1907.348156540328,294,1,25.828,0.0
362,,,,,-1605.04104387496,-1903.348156540328,295,1,25.813,0.0
363,,,,,-1600.04104387496,-1898.348156540328,296,1,25.802,0.0
364,,,,,-1596.04104387496,-1894.348156540328,297,1,25.801,0.0
365,,,,,-1591.04104387496,-1889.348156540328,298,1,25.782,0.0
366,,,,,-1586.04104387496,-1884.348156540328,299,1,25.746,0.0
374,,,,,-1548.04104387496,-1846.348156540328,307,1,25.725,0.0
375,,,,,-1544.04104387496,-1842.348156540328,308,1,25.693,0.0
376,,,,,-1539.04104387496,-1837.348156540328,309,1,25.66,0.0
377,,,,,-1535.04104387496,-1833.348156540328,310,1,25.637,0.0
378,,,,,-1530.04104387496,-1828.348156540328,311,1,25.612,0.0
379,,,,,-1525.04104387496,-1823.348156540328,312,1,25.592,0.0
380,,,,,-1521.04104387496,-1819.348156540328,313,1,25.58,0.0
381,,,,,-1517.04104387496,-1815.348156540328,314,1,25.561,0.0
382,,,,,-1512.04104387496,-1810.348156540328,315,1,25.532,0.0
383,,,,,-1508.04104387496,-1806.348156540328,316,1,25.502,0.0
384,,,,,-1504.04104387496,-1802.348156540328,317,1,25.469,0.0
385,,,,,-1499.04104387496,-1797.348156540328,318,1,25.436,0.0
386,,,,,-1494.04104387496,-1792.348156540328,319,1,25.405,0.0
387,,,,,-1490.04104387496,-1788.348156540328,320,1,25.375,0.0
388,,,,,-1486.04104387496,-1784.348156540328,321,1,25.343,0.0
389,,,,,-1482.04104387496,-1780.348156540328,322,1,25.319,0.0
390,,,,,-1477.04104387496,-1775.348156540328,323,1,25.311,0.0
720,,,,,27.95895612504,-270.348156540328,7,2,25.299,16.980033233859935
721,,,,,32.95895612504,-265.348156540328,8,2,25.256,71.64832115675884
722,,,,,37.95895612504,-260.348156540328,9,2,25.211,86.20535874431097
723,,,,,41.95895612504,-256.348156540328,10,2,25.174,78.22177416132314
724,,,,,46.95895612504,-251.348156540328,11,2,25.125,115.73743817253474
725,,,,,50.95895612504,-247.348156540328,12,2,25.085,102.34596748152815
726,,,,,54.95895612504,-243.348156540328,13,2,25.048,101.94452185442243
727,,,,,59.95895612504,-238.348156540328,14,2,25.0,144.03964013500288
728,,,,,63.95895612504,-234.348156540328,15,2,24.962,121.42965990493225
729,,,,,67.95895612504,-230.348156540328,16,2,24.926,122.05211051398047
730,,,,,72.95895612504,-225.348156540328,17,2,24.88,167.15451336312987
731,,,,,76.95895612504,-221.348156540328,18,2,24.837,164.52524213174758
732,,,,,80.95895612504,-217.348156540328,19,2,24.797,160.732673132406
733,,,,,85.95895612504,-212.348156540328,20,2,24.742,234.20764001130843
734,,,,,89.95895612504,-208.348156540328,21,2,24.697,200.13663743397095
735,,,,,94.95895612504,-203.348156540328,22,2,24.641,262.3647587286489
736,,,,,99.95895612504,-198.348156540328,23,2,24.585,275.5524561558154
737,,,,,104.95895612504,-193.348156540328,1,3,24.564,108.33118242638552
738,,,,,108.95895612504,-189.348156540328,2,3,24.516,256.689867197624
739,,,,,113.95895612504,-184.348156540328,3,3,24.449,373.86001920637426
740,,,,,118.95895612504,-179.348156540328,4,3,24.385,371.79146645825335
741,,,,,123.95895612504,-174.348156540328,5,3,24.323,374.3431557661909
742,,,,,128.95895612504,-169.348156540328,6,3,24.263,375.9359905374636
743,,,,,133.95895612504,-164.348156540328,7,3,24.219,285.76231687758747
744,,,,,138.95895612504,-159.348156540328,8,3,24.159,403.3533827650464
745,,,,,142.95895612504,-155.348156540328,9,3,24.111,331.23018298346074
746,,,,,146.95895612504,-151.348156540328,10,3,24.073,269.08067299330105
749,,,,,159.95895612504,-138.348156540328,13,3,24.043,230.89755398738149
750,,,,,163.95895612504,-134.348156540328,14,3,24.0,338.71444555195194
751,,,,,167.95895612504,-130.348156540328,15,3,23.953,378.54438368401486
752,,,,,172.95895612504,-125.348156540328,16,3,23.897,463.4608188326649
753,,,,,177.95895612504,-120.348156540328,17,3,23.84,484.2279212468271
754,,,,,181.95895612504,-116.348156540328,18,3,23.795,390.0426693757166
755,,,,,186.95895612504,-111.348156540328,19,3,23.742,471.0357985577568
756,,,,,190.95895612504,-107.348156540328,20,3,23.701,371.44629597305453
757,,,,,194.95895612504,-103.348156540328,21,3,23.656,415.4702078346241
758,,,,,199.95895612504,-98.348156540328,22,3,23.599,538.5964468862464
759,,,,,203.95895612504,-94.348156540328,23,3,23.555,423.1691471532906
760,,,,,207.95895612504,-90.348156540328,24,3,23.51,440.4414721511073
761,,,,,211.95895612504,-86.348156540328,25,3,23.467,428.1594229211262
762,,,,,216.95895612504,-81.348156540328,26,3,23.418,498.4339122381973
763,,,,,221.95895612504,-76.348156540328,27,3,23.375,446.6033936602292
764,,,,,225.95895612504,-72.348156540328,28,3,23.338,390.54316654634255
765,,,,,229.95895612504,-68.348156540328,29,3,23.301,396.82706292451013
766,,,,,233.95895612504,-64.348156540328,30,3,23.256,490.1592204140868
767,,,,,238.95895612504,-59.348156540328,31,3,23.202,599.4839799174672
768,,,,,242.95895612504,-55.348156540328,32,3,23.161,461.83654939583863
769,,,,,246.95895612504,-51.348156540328,33,3,23.119,480.02894055762596
770,,,,,250.95895612504,-47.348156540328,34,3,23.084,405.8269827445845
771,,,,,255.95895612504,-42.348156540328,35,3,23.037,554.8389017258266
772,,,,,259.95895612504,-38.348156540328,36,3,22.989,574.3138039013116
