fixIdx,time,lat,lng,alt,tickLead,tickRace,zoneIdx,legIdx,distance,area
1,2018-05-24T12:08:19Z,43.82860000,16.64066667,833.00,,,,,,
2,2018-05-24T12:08:20Z,43.82858333,16.64060000,833.00,,,,,,
3,2018-05-24T12:08:21Z,43.82855000,16.64055000,834.00,,,,,,
4,2018-05-24T12:08:22Z,43.82851667,16.64051667,834.00,,,,,,
5,2018-05-24T12:08:23Z,43.82846667,16.64050000,834.00,,,,,,
6,2018-05-24T12:08:24Z,43.82840000,16.64048333,833.00,,,,,,
7,2018-05-24T12:08:25Z,43.82833333,16.64051667,833.00,,,,,,
8,2018-05-24T12:08:26Z,43.82828333,16.64060000,831.00,,,,,,
9,2018-05-24T12:08:27Z,43.82823333,16.64070000,830.00,,,,,,
10,2018-05-24T12:08:28Z,43.82820000,16.64083333,829.00,,,,,,
11,2018-05-24T12:08:29Z,43.82818333,16.64098333,827.00,,,,,,
12,2018-05-24T12:08:30Z,43.82818333,16.64113333,826.00,,,,,,
13,2018-05-24T12:08:31Z,43.82818333,16.64128333,826.00,,,,,,
14,2018-05-24T12:08:32Z,43.82816667,16.64141667,826.00,,,,,,
15,2018-05-24T12:08:33Z,43.82816667,16.64153333,825.00,,,,,,
16,2018-05-24T12:08:34Z,43.82815000,16.64165000,825.00,,,,,,
17,2018-05-24T12:08:35Z,43.82813333,16.64176667,823.00,,,,,,
18,2018-05-24T12:08:36Z,43.82813333,16.64190000,821.00,,,,,,
19,2018-05-24T12:08:37Z,43.82811667,16.64203333,819.00,,,,,,
20,2018-05-24T12:08:38Z,43.82808333,16.64215000,817.00,,,,,,
21,2018-05-24T12:08:39Z,43.82806667,16.64230000,815.00,,,,,,
22,2018-05-24T12:08:40Z,43.82805000,16.64243333,813.00,,,,,,
23,2018-05-24T12:08:41Z,43.82801667,16.64258333,811.00,,,,,,
24,2018-05-24T12:08:42Z,43.82798333,16.64271667,810.00,,,,,,
25,2018-05-24T12:08:43Z,43.82793333,16.64285000,809.00,,,,,,
26,2018-05-24T12:08:44Z,43.82786667,16.64298333,808.00,,,,,,
27,2018-05-24T12:08:45Z,43.82778333,16.64310000,807.00,,,,,,
28,2018-05-24T12:08:46Z,43.82771667,16.64320000,807.00,,,,,,
29,2018-05-24T12:08:47Z,43.82761667,16.64330000,807.00,,,,,,
30,2018-05-24T12:08:48Z,43.82755000,16.64336667,808.00,,,,,,
31,2018-05-24T12:08:49Z,43.82746667,16.64341667,810.00,,,,,,
32,2018-05-24T12:08:50Z,43.82741667,16.64343333,812.00,,,,,,
33,2018-05-24T12:08:51Z,43.82735000,16.64345000,813.00,,,,,,
34,2018-05-24T12:08:52Z,43.82728333,16.64345000,813.00,,,,,,
35,2018-05-24T12:08:53Z,43.82723333,16.64343333,813.00,,,,,,
36,2018-05-24T12:08:54Z,43.82718333,16.64338333,813.00,,,,,,
37,2018-05-24T12:08:55Z,43.82718333,16.64330000,813.00,,,,,,
38,2018-05-24T12:08:56Z,43.82720000,16.64321667,813.00,,,,,,
39,2018-05-24T12:08:57Z,43.82725000,16.64315000,812.00,,,,,,
40,2018-05-24T12:08:58Z,43.82730000,16.64310000,812.00,,,,,,
41,2018-05-24T12:08:59Z,43.82740000,16.64308333,811.00,,,,,,
42,2018-05-24T12:09:00Z,43.82748333,16.64308333,810.00,,,,,,
43,2018-05-24T12:09:01Z,43.82760000,16.64310000,808.00,,,,,,
44,2018-05-24T12:09:02Z,43.82771667,16.64308333,806.00,,,,,,
45,2018-05-24T12:09:03Z,43.82783333,16.64306667,804.00,,,,,,
46,2018-05-24T12:09:04Z,43.82793333,16.64303333,802.00,,,,,,
47,2018-05-24T12:09:05Z,43.82803333,16.64298333,801.00,,,,,,
48,2018-05-24T12:09:06Z,43.82811667,16.64291667,801.00,,,,,,
49,2018-05-24T12:09:07Z,43.82821667,16.64285000,802.00,,,,,,
50,2018-05-24T12:09:08Z,43.82830000,16.64278333,803.00,,,,,,
51,2018-05-24T12:09:09Z,43.82836667,16.64273333,806.00,,,,,,
52,2018-05-24T12:09:10Z,43.82843333,16.64270000,807.00,,,,,,
53,2018-05-24T12:09:11Z,43.82850000,16.64266667,807.00,,,,,,
54,2018-05-24T12:09:12Z,43.82853333,16.64263333,807.00,,,,,,
55,2018-05-24T12:09:13Z,43.82860000,16.64256667,805.00,,,,,,
56,2018-05-24T12:09:14Z,43.82866667,16.64246667,804.00,,,,,,
57,2018-05-24T12:09:15Z,43.82871667,16.64236667,803.00,,,,,,
58,2018-05-24T12:09:16Z,43.82875000,16.64226667,804.00,,,,,,
59,2018-05-24T12:09:17Z,43.82880000,16.64218333,806.00,,,,,,
60,2018-05-24T12:09:18Z,43.82885000,16.64211667,807.00,,,,,,
61,2018-05-24T12:09:19Z,43.82890000,16.64206667,808.00,,,,,,
62,2018-05-24T12:09:20Z,43.82896667,16.64201667,809.00,,,,,,
63,2018-05-24T12:09:21Z,43.82901667,16.64196667,809.00,,,,,,
64,2018-05-24T12:09:22Z,43.82903333,16.64188333,810.00,,,,,,
65,2018-05-24T12:09:23Z,43.82903333,16.64178333,810.00,,,,,,
66,2018-05-24T12:09:24Z,43.82900000,16.64171667,809.00,,,,,,
67,2018-05-24T12:09:25Z,43.82895000,16.64166667,809.00,,,,,,
68,2018-05-24T12:09:26Z,43.82890000,16.64163333,808.00,,,,,,
69,2018-05-24T12:09:27Z,43.82883333,16.64163333,808.00,,,,,,
70,2018-05-24T12:09:28Z,43.82878333,16.64163333,807.00,,,,,,
71,2018-05-24T12:09:29Z,43.82871667,16.64166667,806.00,,,,,,
72,2018-05-24T12:09:30Z,43.82865000,16.64171667,805.00,,,,,,
73,2018-05-24T12:09:31Z,43.82858333,16.64178333,803.00,,,,,,
74,2018-05-24T12:09:32Z,43.82851667,16.64188333,802.00,,,,,,
75,2018-05-24T12:09:33Z,43.82846667,16.64196667,801.00,,,,,,
76,2018-05-24T12:09:34Z,43.82840000,16.64208333,799.00,,,,,,
77,2018-05-24T12:09:35Z,43.82836667,16.64218333,798.00,,,,,,
78,2018-05-24T12:09:36Z,43.82830000,16.64230000,797.00,,,,,,
79,2018-05-24T12:09:37Z,43.82825000,16.64241667,795.00,,,,,,
80,2018-05-24T12:09:38Z,43.82820000,16.64251667,795.00,,,,,,
81,2018-05-24T12:09:39Z,43.82813333,16.64261667,794.00,,,,,,
82,2018-05-24T12:09:40Z,43.82806667,16.64270000,795.00,,,,,,
83,2018-05-24T12:09:41Z,43.82801667,16.64278333,795.00,,,,,,
84,2018-05-24T12:09:42Z,43.82798333,16.64285000,795.00,,,,,,
85,2018-05-24T12:09:43Z,43.82793333,16.64291667,794.00,,,,,,
86,2018-05-24T12:09:44Z,43.82786667,16.64300000,793.00,,,,,,
87,2018-05-24T12:09:45Z,43.82780000,16.64306667,791.00,,,,,,
88,2018-05-24T12:09:46Z,43.82771667,16.64315000,790.00,,,,,,
89,2018-05-24T12:09:47Z,43.82763333,16.64323333,788.00,,,,,,
90,2018-05-24T12:09:48Z,43.82755000,16.64331667,787.00,,,,,,
91,2018-05-24T12:09:49Z,43.82746667,16.64340000,785.00,,,,,,
92,2018-05-24T12:09:50Z,43.82738333,16.64346667,785.00,,,,,,
93,2018-05-24T12:09:51Z,43.82730000,16.64355000,784.00,,,,,,
94,2018-05-24T12:09:52Z,43.82721667,16.64361667,783.00,,,,,,
95,2018-05-24T12:09:53Z,43.82713333,16.64368333,783.00,,,,,,
